N,E,W,X
46, 67.5435, 9, 6470
44, 62.6306, 8, 87
45, 61.2186, 7, 3530
42, 63.5203, 3, 2588
44, 69.4004, 5, 4288
40, 65.3772, 5, 4265
32, 19.6132, 4, 21620
46, 31.7602, 8, 23650
49, 46.8665, 3, 11400
48, 46.3443, 3, 401
48, 44.4101, 3, 322
36, 8.16248, 5, 53372
36, 10.0967, 5, 134
36, 8.16248, 5, 276
40, -7.15667, 6, 2882
39, -3.81044, 6, 11
49, -0.522244, 4, 24452
50, 1.93424, 4, 247
52, -2.82398, 4, 582
52, 26.1896, 6, 11660
38, 36.2863, 4, 24587
36, 37.176, 3, 246
42, 9.3617, 6, 21815
43, 7.94971, 6, 301
39, 16.499, 4, 26841
33, 13.3656, 4, 3000
35, 31.8182, 3, 2640
36, 17.8337, 1, 5809
32, 28.3172, 2, 2581
31, 27.795, 2, 47
38, 39.1876, 4, 1806
49, 30.4255, 4, 7340
40, 25.7253, 5, 27505
42, 22.9014, 5, 1555
39, 21.3346, 5, 1307
39, 21.3346, 5, 514
42, 20.9671, 6, 3825
40, 31.528, 8, 11749
32, 46.6925, 4, 2875
36, 54.5841, 4, 4187
38, 55.6286, 4, 668
44, 32.6499, 2, 8054
48, 30.8704, 2, 3200
48, 34.7389, 5, 24547
50, 63.8298, 7, 10701
48, 55.0484, 7, 5904
48, 53.1141, 7, 475
48, 51.1799, 3, 11540
40, 38.2979, 3, 6245
39, 39.7099, 3, 137
39, 37.7756, 3, 136
53, 80.8704, 6, 29909
49, 78.7814, 9, 12691
46, 32.7273, 4, 20714
45, 34.1393, 3, 41
38, -7.23404, 4, 26476
34, 17.7563, 3, 4869
38, 24.6809, 3, 4237
37, 16.4217, 2, 2225
38, 20.8124, 2, 1063
37, 20.2901, 2, 0
41, 5.9381, 4, 1558
37, 17.3888, 7, 6597
38, 15.9768, 7, 247
28, 43.6364, 0, 16038
40, 32.4952, 0, 9919
40, 41.1992, 4, 18668
40, 31.528, 4, 949
36, 33.3075, 4, 3128
44, 32.6499, 5, 5761
46, 38.53, 3, 7809
35, 53.0948, 2, 42949
34, 48.7041, 2, 151
30, 40.8124, 2, 201
29, 40.2901, 2, 25
24, 26.0735, 0, 2804
26, 32.9207, 0, 563
35, 39.5551, 3, 11234
32, 24.4487, 3, 7101
41, 19.4778, 5, 5441
40, 14.1199, 4, 2630
48, 37.6402, -6, 10475
55, 61.6054, -5, 10181
56, 62.1277, -5, 285
55, 50.9671, 9, 3585
55, 52.9014, 9, 246
56, 55.3578, 9, 247
53, 24.7776, 9, 12948
53, 24.7776, 9, 238
52, 9.74855, 9, 2127
51, 19.8646, 9, 12625
49, 17.853, 10, 8622
58, 10.9478, 8, 7673
58, 9.01354, 8, 220
58, 9.01354, 8, 46
57, 37.5048, 7, 2408
56, 38.9168, 7, 51
47, 43.8878, 2, 11035
45, 41.8762, 1, 239
45, 40.9091, 3, 5481
46, 45.2998, 7, 1922
46, 40.4642, 7, 882
51, 40.1741, 10, 15737
51, 45.0097, 1, 22084
44, 51.9923, 4, 30408
45, 50.5803, 4, 630
40, 46.0348, 5, 1725
38, 61.4313, 5, 4248
38, 63.3656, 5, 98
38, 64.3327, 4, 4524
38, 64.3327, 4, 221
39, 60.0193, 5, 3794
41, 38.8201, 3, 8166
43, 45.6673, 3, 1130
30, 60.1547, 2, 5960
45, 73.7911, 6, 9847
50, 84.1393, 4, 10620
46, 79.1489, 4, 1482
45, 78.6267, 4, 165
56, 31.1799, 2, 35541
45, 39.942, 5, 31045
46, 44.3327, 6, 437
42, 36.441, 6, 8880
49, 50.735, 4, 20988
48, 36.6731, 4, 3818
49, 35.2611, 4, 221
57, 62.6499, 5, 6863
44, 58.7621, 4, 23862
46, 54.0039, 4, 1009
47, 56.4603, 4, 259
47, 24.5455, 6, 12488
44, 9.43907, -3, 14613
45, 33.1721, -3, 4458
39, 47.4468, -4, 3304
45, 49.6132, -2, 4453
52, 10.7157, -1, 10811
46, 37.5629, 1, 11097
44, 40.3868, 5, 0
51, 22.766, 5, 20479
57, 22.0309, 5, 3091
58, 22.5532, 5, 247
56, 90.1741, -6, 36934
56, 80.5029, -5, 1409
57, 72.3211, -5, 1885
56, 59.2263, -5, 18812
57, 57.8143, -5, 221
60, 39.0716, -5, 11961
51, 27.6015, 8, 18571
57, 49.1103, 6, 9260
33, 28.8395, 1, 15460
32, 32.1857, 1, 123
43, 37.9304, 1, 2762
52, 62.94, 5, 16117
44, 43.2882, 3, 13103
45, 39.942, 3, 277
45, 68.9555, 3, 10285
43, 64.0426, 3, 92
43, 60.1741, 3, 916
48, 17.3308, 6, 21384
49, 23.6557, 5, 1555
45, 30.2708, 7, 6777
43, 34.0619, 8, 6114
47, 56.4603, 5, 21443
46, 66.5764, 7, 23014
48, 64.7195, 7, 1725
49, 42.9981, 2, 5439
49, 46.8665, 2, 154
54, 39.8066, 0, 5651
39, 43.5783, 6, 11213
47, 51.6248, 4, 5427
46, 51.1025, 4, 137
47, 51.6248, 4, 235
45, 49.6132, 4, 946
44, 33.617, 3, 7596
45, 34.1393, 3, 384
45, 34.1393, 3, 460
44, 35.5513, 3, 73
43, 36.9632, 3, 97
43, 43.7331, 5, 5479
47, 43.8878, 4, 6442
49, 58.472, 8, 11040
47, 55.4932, 5, 13129
48, 57.9497, 5, 397
47, 55.4932, 5, 1661
52, 37.795, 6, 20176
45, 44.7776, 5, 22972
57, 55.8801, 5, 10215
54, 42.7079, 8, 5602
41, 51.3926, 3, 4874
41, 51.3926, 3, 38
52, 20.3868, 6, 14614
52, 42.6306, 7, 7396
52, 24.2553, 12, 23045
52, 22.3211, 12, 456
52, 22.3211, -3, 10853
49, 65.2418, 2, 9808
46, 67.5435, 1, 2861
52, 62.94, 7, 6761
45, 38.0077, 5, 24433
50, 44.4874, 5, 3855
39, 42.6112, 4, 3696
43, 44.7002, 4, 979
42, 42.2437, 3, 7854
44, 28.7814, 5, 2360
43, 27.2921, 5, 472
43, 25.3578, 5, 282
38, 26.6151, 4, 1368
37, 24.1586, 3, 106
33, 25.9381, 3, 656
32, 23.4816, 3, 19
32, 25.4159, 3, 188
33, 35.6093, 4, 2668
34, 40, 4, 789
30, 24.3714, 4, 2852
30, 24.3714, 4, 58
35, 24.0812, 5, 3513
35, 22.147, 6, 232
60, 36.1702, 7, 16973
61, 32.824, 7, 462
55, 22.9207, 7, 8926
42, 15.1644, 4, 16000
43, 17.6209, 4, 225
44, 19.1103, 4, 275
43, 19.5551, 9, 6531
45, 22.5338, 7, 3876
37, 42.5338, 6, 10915
53, 33.4816, 9, 5967
40, 33.4623, 4, 10017
41, 33.9845, 4, 385
40, 43.1335, 4, 540
40, 48.9362, 2, 2472
39, 46.4797, 2, 7
39, 44.5455, 2, 296
38, 39.1876, 2, 7837
50, 43.5203, 6, 8864
46, 40.4642, 5, 1150
46, 40.4642, 5, 330
41, 37.853, 5, 1667
56, 51.4894, 9, 6992
56, 54.3907, 10, 5270
47, 32.2824, 9, 5342
48, 34.7389, 9, 237
49, 33.3269, 9, 775
48, 32.8046, 8, 47
61, 76.3443, 6, 14477
60, 75.8221, 6, 35
61, 78.2785, 6, 229
47, 24.5455, 5, 20075
48, 26.0348, 5, 1048
43, 35.9961, 5, 12937
42, 29.6712, 5, 491
51, 22.766, 8, 4463
45, 29.3037, 5, 10416
46, 61.7408, 4, 18277
46, 39.4971, 1, 11564
48, 38.6074, 2, 2214
43, 44.7002, 2, 4497
48, 35.706, 2, 13524
58, 48.6654, 5, 23155
56, 47.6209, 5, 1117
49, 45.8994, 6, 3483
49, 45.8994, 6, 360
54, 48.5106, 6, 2354
67, 44.6615, 7, 17659
63, 43.5397, 6, 2095
46, 42.3985, 5, 15914
46, 29.8259, 0, 7980
49, 29.4584, 1, 3363
46, 27.8917, 1, 3254
55, 35.4932, 7, 16801
55, 34.5261, 7, 272
55, 34.5261, 7, 90
59, 36.6151, 7, 3902
58, 53.501, 4, 10130
48, 47.3114, 5, 7566
49, 46.8665, 5, 507
47, 40.9865, 3, 5221
46, 38.53, 3, 302
50, 30.9478, 6, 9874
49, 28.4913, 6, 131
54, 47.5435, 6, 12101
50, 18.3752, 5, 13628
51, 16.9632, 5, 371
46, 47.234, 3, 8248
50, 37.7176, 4, 9545
51, 42.1083, 4, 239
52, 40.6963, 5, 239
54, 62.0503, 6, 2968
57, 68.4526, 4, 3421
57, 68.4526, 4, 10
61, 68.6074, 5, 1222
53, 45.087, 4, 10057
55, 50, 5, 670
60, 26.499, 10, 6439
57, 20.0967, 11, 1201
62, 13.0368, 10, 28468
46, 26.9246, 9, 22994
45, 34.1393, 5, 11954
46, 29.8259, 7, 623
46, 29.8259, 7, 221
45, 26.4023, 7, 960
42, 4.52611, 5, 4516
42, 2.59188, 5, 70
47, 21.6441, 12, 9294
53, 42.1857, 10, 5320
59, 43.3849, 10, 9584
57, 27.8337, 9, 4310
57, 29.7679, 9, 741
55, 20.9865, 9, 626
56, 49.5551, 7, 4661
53, 44.1199, 6, 1397
52, 39.7292, 6, 15
51, 24.7002, 2, 8332
53, 43.1528, 6, 5135
55, 53.8685, 7, 2927
56, 54.3907, 8, 593
41, 47.5242, 5, 6122
42, 49.9807, 5, 287
39, 46.4797, 6, 23740
41, 59.1296, 9, 7939
42, 63.5203, 9, 315
48, 70.5222, 8, 3309
48, 68.588, 8, 188
45, 78.6267, 3, 40555
37, 70.5803, 1, 7851
38, 71.1025, 1, 395
44, 43.2882, 2, 16030
48, 28.9362, 5, 16749
47, 21.6441, 4, 14825
39, 46.4797, 3, 8455
38, 39.1876, 3, 840
46, 39.4971, 6, 23684
50, 56.0928, 5, 31519
49, 51.7021, 5, 253
50, 44.4874, 5, 1072
43, 40.8317, 4, 5312
43, 38.8975, 4, 162
46, 54.0039, 6, 5814
49, 19.7872, 4, 13556
48, 17.3308, 4, 19
51, 29.5358, 6, 34950
47, 33.2495, 7, 8301
46, 32.7273, 7, 17
43, 50.5029, 4, 9267
43, 52.4371, 4, 312
58, 45.764, 2, 23241
62, 40.1161, 6, 3302
55, 49.0329, 2, 8401
60, 30.3675, 5, 6427
57, 20.0967, 6, 12064
55, 22.9207, 5, 66
48, 3.7911, -2, 16354
49, 0.444874, -2, 407
50, -14.5068, -2, 1419
49, -16.9632, -2, 7
50, -16.441, -2, 229
50, -17.4081, -2, 2334
46, 19.1876, -1, 21667
48, 21.1992, 3, 20336
51, 32.4371, 8, 24904
48, 40.5416, 1, 6787
53, 58.6267, 0, 8784
51, 76.9246, -1, 7383
66, 40.2708, 8, 15017
49, 44.9323, 3, 11767
52, 67.7756, 9, 9829
50, 68.6654, 9, 383
53, 57.6596, 10, 7936
53, 57.6596, 10, 396
51, 50.8124, -7, 40229
62, 52.6886, -4, 11146
50, 20.3095, -8, 41475
50, 18.3752, -8, 44
51, 20.8317, -8, 223
45, 12.8627, -9, 8174
51, 8.25919, -9, 5474
50, 5.80271, -9, 117
50, 5.80271, -9, 130
50, 5.80271, -9, 221
49, 30.4255, -9, 2809
52, 33.9265, -9, 1156
52, 31.9923, -9, 42
57, 38.472, -8, 5563
58, 38.9942, -8, 304
55, 49.0329, -7, 10828
55, 46.1315, -5, 2506
44, 28.7814, -8, 7514
42, 34.5068, -9, 15127
49, 30.4255, -8, 3567
49, 28.4913, -8, 268
55, 32.5919, 7, 14916
48, 32.8046, -6, 15998
40, 24.7582, -6, 6553
44, 21.0445, -8, 6710
37, 27.06, 3, 10266
53, 44.1199, -2, 22308
52, 35.8607, 5, 6569
64, 40.1934, 7, 7533
59, 33.7137, 8, 8973
58, 45.764, 8, 446
48, 49.2456, 7, 4066
49, 46.8665, 7, 4026
53, 48.9555, 2, 15443
50, 43.5203, 2, 425
36, 46.8472, 1, 16563
33, 37.5435, -2, 6726
32, 35.087, -2, 243
31, 36.499, -2, 1575
33, 26.9052, -3, 3465
57, 53.9458, -3, 14225
55, 53.8685, -5, 1083
44, 65.5319, -4, 1199
47, 72.9014, -3, 2436
36, 34.2747, -1, 13289
40, 35.3965, 1, 7820
31, 41.3346, 2, 1964
56, 56.325, 5, 13426
57, 60.7157, 3, 1430
58, 65.1064, 3, 279
58, 61.2379, 3, 300
69, 83.4236, 5, 8520
68, 80.9671, 4, 523
47, 50.6576, 5, 12120
45, 40.9091, 5, 4722
34, 51.6054, 1, 13731
36, 37.176, 1, 2497
39, 47.4468, 4, 17393
36, 30.4062, 4, 1742
37, 32.8627, 4, 271
47, 38.0851, 2, 22262
49, 39.1296, 2, 589
48, 38.6074, 2, 137
47, 40.0193, 2, 61
45, 38.9749, 2, 291
55, 23.8878, 3, 10541
54, 30.1354, 3, 808
53, 29.6132, 3, 478
46, 46.2669, -1, 6998
46, 50.1354, -1, 232
43, 35.029, 5, 9989
41, 41.7215, 5, 4631
44, 43.2882, 5, 2899
29, 35.4545, 3, 6577
35, 32.7853, 3, 2185
42, 38.3752, 4, 1952
45, 42.8433, 3, 5518
42, 41.2766, 3, 2581
49, 67.176, 4, 9592
49, 69.1103, 7, 524
40, 52.8046, 7, 4152
44, 61.6634, 8, 4751
54, 50.4449, 8, 15458
53, 53.7911, 7, 19
52, 49.4004, 6, 8942
52, 74.5455, 8, 8579
49, 57.5048, 8, 10452
44, 60.6963, 8, 4664
46, 60.7737, 8, 1098
45, 64.1199, 7, 1201
44, 55.8607, 4, 18779
49, 35.2611, 7, 14496
50, 47.3888, 5, 18927
50, 45.4545, 5, 46
55, 49.0329, 5, 2373
54, 52.3791, 5, 1024
54, 50.4449, 5, 79
52, 16.5184, 6, 29729
51, 15.9961, 6, 0
50, 44.4874, 4, 22912
56, 61.1605, -1, 27315
51, 68.2205, -3, 2689
53, 69.265, -1, 696
45, 39.942, 4, 27480
43, 65.9768, 7, 8192
37, 65.7447, 5, 2752
34, 58.3752, 5, 1795
33, 33.675, 3, 5490
32, 29.2843, 5, 3993
32, 25.4159, 4, 604
46, 43.3656, 5, 25732
50, 52.2244, 2, 14271
51, 9.22631, 7, 38028
52, 36.8279, 5, 15258
51, 43.0754, 8, 85096
51, 40.1741, 7, 1206
50, 37.7176, 7, 453
52, 36.8279, 7, 915
50, 62.8627, 6, 12394
47, 34.2166, 6, 7983
50, 22.2437, 3, 24452
49, 40.0967, 2, 16350
52, 50.3675, -1, 19537
51, 57.5822, -2, 646
51, 51.7795, -2, 522
51, 53.7137, -1, 540
49, 59.4391, -1, 1465
49, 55.5706, 1, 19374
48, 56.9826, 2, 390
53, 73.1335, 6, 7074
61, 67.6402, 7, 13057
54, 82.3598, 6, 7656
48, 85.029, 4, 2470
48, 85.029, 4, 26
48, 59.8839, 3, 13780
46, 74.3133, 2, 4798
55, 82.882, 3, 27060
49, 42.9981, 6, 16426
50, 49.323, 6, 509
46, 26.9246, 4, 3499
42, 47.0793, 4, 14055
47, 53.559, 4, 3246
48, 56.0155, 4, 279
42, 45.1451, -2, 23303
42, 52.882, -3, 2867
39, 39.7099, -4, 1892
41, 44.6228, -4, 459
46, 59.8066, 2, 12823
45, 48.646, 3, 8199
50, 58.0271, 4, 2044
49, 48.8008, 3, 11450
43, 40.8317, 2, 2818
40, 41.1992, 2, 3803
40, 11.2186, 4, 6557
41, 11.7408, 4, 293
42, 19.0329, 5, 4334
50, 9.67118, 9, 4614
46, 49.1683, 6, 34679
48, 68.588, 8, 7224
44, 70.3675, 8, 1998
48, 65.6867, 5, 3372
57, 72.3211, 8, 14267
46, 37.5629, 5, 5762
47, 30.3482, 4, 13848
54, 42.7079, 4, 29484
51, 41.1412, 5, 3622
47, 44.8549, 3, 7327
51, 37.2727, 5, 3905
44, 17.176, 5, 2241
44, 17.176, 5, 98
48, 6.69246, 6, 3539
46, 24.9903, 7, 23249
45, 28.3366, 7, 389
44, 25.8801, 7, 29
47, 27.4468, 7, 1824
31, 42.3017, 2, 27377
38, 42.089, 4, 4238
50, 21.2766, 6, 7151
65, 80.3675, 3, 29386
54, 34.0039, 5, 20846
54, 32.0696, 5, 581
52, 32.9594, 5, 2352
51, 59.5164, 2, 26714
49, 62.3404, 5, 6856
48, 70.5222, 4, 5452
48, 78.2592, 5, 5430
47, 77.7369, 5, 151
43, 66.9439, 4, 1625
54, 39.8066, 9, 67302
52, 48.4333, 7, 11908
51, 49.8453, 6, 82
50, 49.323, 6, 19
46, 60.7737, 4, 30421
43, 69.8453, 3, 1949
43, 67.911, 3, 132
43, 69.8453, 3, 532
58, 63.1721, 6, 8790
55, 74.1779, 6, 6567
61, 102.456, 6, 13366
64, 71.1412, 7, 14824
66, 62.5145, 8, 1754
65, 61.9923, 8, 129
54, 64.9516, 8, 11741
53, 26.7118, 10, 7565
40, 39.265, -7, 5628
38, 44.9903, -8, 2225
38, 44.9903, -8, 220
41, 46.5571, -8, 1907
38, 26.6151, 2, 4645
39, 31.0058, 2, 371
52, 65.8414, 3, 16795
46, 44.3327, 3, 6731
47, 48.7234, 3, 565
45, 39.942, 3, 31655
48, 27.0019, 4, 8350
47, 24.5455, 4, 7
48, 27.0019, 4, 377
48, 37.6402, 6, 26994
55, 75.1451, 1, 14630
48, 55.0484, 2, 10722
50, 61.8956, 4, 1014
40, 45.0677, 2, 2005
39, 42.6112, 2, 105
39, 40.677, 3, 58
49, 30.4255, 5, 8525
48, 31.8375, 5, 3011
47, 19.7099, 11, 5131
42, 13.2302, 5, 8182
51, 42.1083, 5, 20013
57, 61.6828, 6, 5878
58, 60.2708, 4, 5225
50, 64.7969, 5, 2403
54, 41.7408, 6, 11851
53, 39.2843, 6, 33
48, 33.7718, 2, 6694
52, 40.6963, 3, 2498
48, 34.7389, 3, 635
42, 27.7369, 3, 11845
43, 32.1277, 2, 3169
35, 10.5416, -1, 8626
49, 11.0832, 3, 13962
48, 12.4952, 2, 272
33, 39.4778, 4, 19528
37, 36.7311, 4, 12537
36, 38.1431, 3, 1
34, 33.2302, 3, 140
45, 40.9091, 1, 22201
50, 22.2437, 2, 5571
50, 31.9149, 2, 906
50, 29.0135, 2, 1293
50, 48.3559, 2, 5654
46, 40.4642, 0, 21924
54, 53.3462, 2, 11341
51, 38.2398, 6, 2915
49, 33.3269, 6, 47
50, 38.6847, 7, 366
50, 46.4217, 7, 1680
57, 32.6692, 6, 8011
56, 32.147, 6, 17
55, 31.6248, 6, 264
55, 33.559, 6, 101
54, 43.675, 5, 3779
45, 40.9091, 5, 1241
46, 37.5629, 5, 276
48, 28.9362, 6, 3598
40, 45.0677, 4, 10155
37, 43.501, 4, 3534
43, 41.7988, -2, 15472
45, 46.7118, -3, 8514
58, 82.5145, 7, 13882
60, 64.2166, 5, 11215
49, 51.7021, 4, 7001
47, 44.8549, 4, 9202
47, 44.8549, 4, 3042
47, 44.8549, 4, 34
49, 43.9652, 4, 1143
49, 43.9652, 4, 572
36, 63.2882, 3, 24719
36, 65.2224, 3, 424
35, 66.6344, 3, 203
47, 63.2302, 4, 9811
46, 56.9052, 6, 515
55, 48.0658, 7, 14888
43, 28.2592, 5, 3282
45, 23.501, 5, 802
45, 27.3694, 6, 2108
45, 42.8433, 4, 20477
45, 37.0406, 4, 390
45, 37.0406, 4, 192
42, 35.4739, 3, 2119
44, 32.6499, 3, 573
46, 27.8917, 4, 1809
41, 4.00387, 3, 16420
44, 7.50484, 4, 2438
44, 13.3075, 3, 865
50, 19.3424, 6, 13021
51, 14.0619, 7, 528
58, 8.04642, 7, 4018
51, 3.4236, 7, 1121
43, 11.8182, 7, 13013
44, 10.4062, 7, 235
50, 13.5397, 7, 8386
51, 15.029, 6, 4182
49, 42.0309, 3, 27284
52, 36.8279, 5, 18043
43, 41.7988, 0, 7431
43, 30.1934, 0, 448
44, 36.5184, 0, 1099
48, 52.147, 4, 13934
42, 27.7369, 4, 5649
43, 29.2263, 6, 13083
46, 54.971, 6, 18808
37, 57.0406, 4, 4500
46, 46.2669, 1, 5012
38, 29.5164, 8, 16476
36, 38.1431, 6, 1483
48, 38.6074, 6, 15319
49, 39.1296, 6, 339
37, 27.06, 4, 11452
37, 54.1393, 4, 8127
43, 55.3385, 3, 7161
41, 56.2282, 5, 6021
40, 51.8375, 5, 29
39, 51.3153, 5, 649
52, 40.6963, 2, 22757
58, 8.04642, 6, 21575
53, 7.36944, 6, 276
51, -16.8859, 5, 3985
60, -17.0213, 4, 7071
45, 38.9749, 3, 10979
45, 38.9749, 3, 46
47, 41.9536, 2, 27602
49, 42.9981, 2, 696
48, 42.4758, 5, 3330
46, 47.234, 5, 464
46, 48.2012, 5, 1010
47, 46.7892, 4, 999
56, 55.3578, 4, 14324
55, 50.9671, 4, 13
53, 36.383, 6, 21683
48, 32.8046, 7, 2741
51, 38.2398, 7, 1836
50, 29.0135, 7, 1673
54, 23.3656, 5, 2508
48, 4.75822, -3, 22964
48, 4.75822, -3, 36
47, 28.4139, -2, 6589
38, 49.8259, -5, 37091
32, 30.2515, -6, 4985
45, 21.5667, 8, 14777
49, 41.0638, 10, 19644
46, 30.793, 8, 16105
48, 23.1335, -6, 9995
46, 32.7273, -6, 2542
50, 53.1915, -1, 3891
54, 46.5764, -5, 14636
63, 56.1122, 7, 13296
60, 52.6112, 5, 1778
60, 46.8085, 6, 198
52, 61.9729, 3, 10501
53, 37.3501, 4, 5202
52, 34.8936, 4, 665
40, 20.8897, 4, 12214
52, 23.2882, 5, 15641
49, 16.8859, 8, 2867
46, 14.352, 9, 12624
45, 11.8956, 9, 19
40, 23.7911, 6, 4716
49, 42.0309, 6, 5547
58, 45.764, 10, 22852
59, 22.1083, 9, 3680
59, 22.1083, 9, 134
51, -8.18182, 7, 20416
42, -0.309478, 7, 5071
37, 10.619, 6, 2560
40, 40.2321, 6, 12438
39, 30.0387, 6, 827
43, 44.7002, 2, 12912
45, 45.7447, 2, 1358
44, 52.9594, 2, 302
43, 43.7331, 4, 11605
48, 26.0348, 7, 8734
44, -2.16634, 5, 4932
47, 6.17021, 5, 2825
47, 17.7756, 5, 1562
46, 17.2534, 5, 202
42, 15.1644, 5, 12603
39, 13.5977, 4, 1604
39, 43.5783, 1, 8924
37, 64.7776, 3, 36647
35, 63.7331, 3, 730
39, 50.3482, 3, 1788
40, 47.0019, 3, 291
49, 7.2147, 5, 6631
25, 27.5629, 4, 19048
29, 27.7176, 4, 1994
28, 25.2611, 4, 27
27, 40.2128, 5, 3023
28, 34.9323, 7, 1224
32, 37.0213, 6, 4210
35, 29.8839, 6, 5447
49, 29.4584, 5, 7240
48, 55.0484, 6, 19952
42, 46.1122, 6, 7111
43, 24.3907, 3, 4970
47, 29.381, 4, 1886
60, 55.5126, 6, 12926
55, 53.8685, 3, 26741
46, 56.9052, 6, 5922
57, 67.4855, 8, 23997
56, 65.029, 8, 350
56, 63.0948, 8, 110
60, 50.677, 6, 12953
59, 45.3191, 7, 30909
60, 70.9865, 8, 8253
47, 21.6441, 6, 12045
49, 25.5899, 1, 4379
51, 49.8453, -1, 5512
52, 47.4662, 0, 2711
51, 56.6151, 2, 5617
53, 66.3636, 10, 3926
54, 34.0039, 6, 5574
54, 63.0174, 7, 5826
53, 62.4952, 7, 139
40, 47.0019, 2, 6163
41, 52.3598, 4, 2103
55, 18.0851, 6, 11764
53, 7.36944, 3, 7319
56, 44.7195, 7, 19297
58, 43.8298, 7, 7332
55, 48.0658, 5, 203
66, 70.2515, 8, 13974
45, 73.7911, 4, 14696
44, 83.9072, 2, 9844
58, 60.2708, 5, 23740
58, 58.3366, 5, 63
61, 31.8569, 5, 10330
48, 87.9304, 3, 28331
50, 84.1393, 4, 3868
40, 43.1335, 6, 3622
41, 43.6557, 6, 321
50, 40.619, 8, 5300
57, 41.3733, 9, 3723
57, 19.1296, 6, 11379
55, 52.9014, 6, 21522
55, 57.7369, 6, 11866
49, 47.8337, 3, 3300
48, 45.3772, 3, 21
49, 43.9652, 3, 243
41, 59.1296, 2, 14837
51, 62.4178, 8, 11410
54, 47.5435, 9, 12296
52, 56.1702, 8, 5854
53, 56.6925, 8, 221
47, 46.7892, 7, 1623
50, 48.3559, 8, 3238
47, 37.118, 7, 1408
42, 16.1315, 7, 17380
44, 31.6828, 5, 7562
45, 32.205, 5, 373
45, 32.205, 5, 221
46, 41.4313, 3, 3024
44, 44.2553, 3, 7388
47, 28.4139, 5, 2302
41, 21.412, 6, 407
37, 20.2901, 7, 13474
32, 30.2515, 7, 2821
34, 31.2959, 7, 1072
41, 25.2805, 7, 17571
42, 23.8685, 5, 3827
56, 37.9497, -1, 20335
56, 25.3772, 3, 11107
47, 22.6112, 3, 13290
46, 31.7602, 9, 25900
51, 23.7331, 11, 4954
47, 29.381, 10, 1496
46, 26.9246, 10, 139
41, 43.6557, 6, 5282
32, 47.6596, 3, 2844
33, 39.4778, 3, 1318
40, 9.28433, 2, 28575
37, 40.5996, 2, 7820
51, 95.2998, 3, 15793
52, 91.9536, 3, 510
51, 88.53, 3, 139
51, 88.53, 3, 473
42, 76.0928, 3, 1642
42, 76.0928, 3, 221
42, 27.7369, 4, 17684
44, 25.8801, 4, 624
45, 26.4023, 4, 702
50, 21.2766, 8, 19616
49, 14.9516, 7, 1191
48, 41.5087, 4, 9381
43, 13.7524, 3, 28554
42, 12.2631, 3, 31
44, 20.0774, 2, 3357
48, 24.1006, 2, 7450
42, 20, 5, 4361
43, 12.7853, 6, 349
43, 10.8511, 6, 256
44, 13.3075, 6, 239
48, 17.3308, 5, 4132
47, 14.8743, 5, 393
46, 13.3849, 5, 0
58, 74.7776, 2, 40462
58, 74.7776, 2, 10
53, 35.4159, 4, 22033
46, 23.0561, 5, 4122
47, 23.5783, 3, 8351
55, 50, 10, 6681
54, 51.412, 10, 60
51, 72.089, 4, 13196
47, 90.3095, 4, 2355
46, 85.9188, 4, 5
46, 53.0368, 6, 9394
44, 53.9265, 5, 1366
44, 59.7292, 3, 1259
42, 26.7698, 6, 17478
38, 25.648, 6, 988
36, 17.8337, 6, 2058
39, 17.4662, 3, 24409
45, 49.6132, 4, 14208
46, 48.2012, 4, 541
37, 32.8627, 3, 5216
38, 37.2534, 3, 371
37, 33.8298, 2, 332
38, 38.2205, 2, 363
61, 37.6596, 6, 24235
54, 40.7737, 1, 25135
46, 45.2998, 1, 12118
46, 49.1683, 1, 526
63, 42.5725, 6, 28127
57, 45.2418, 2, 2911
53, 33.4816, 2, 968
51, 29.5358, 2, 1225
40, 0.580271, 4, 5237
43, 6.01547, 2, 6559
40, -0.386847, 4, 14336
39, 2.95938, 6, 5772
39, -0.909091, 6, 122
42, 25.8027, 8, 14822
41, 48.4913, 4, 10448
46, 21.1219, 5, 16414
41, 38.8201, 3, 67226
40, 34.4294, 3, 41
39, 31.9729, 3, 1237
38, 34.352, 3, 119
43, 22.4565, 10, 8948
49, 15.9188, 9, 10351
48, 16.3636, 9, 2812
46, 7.58221, 9, 130
37, 42.5338, 8, 11946
36, 40.0774, 8, 155
34, 41.9342, 8, 3
35, 42.4565, 8, 399
37, 45.4352, 8, 734
36, 42.9787, 7, 7
37, 43.501, 7, 619
36, 42.9787, 7, 47
36, 60.3868, 6, 9120
37, 55.1064, 6, 8901
45, 64.1199, 3, 10817
54, 58.1818, 6, 6591
53, 64.4294, 5, 2007
52, 57.1373, 5, 5949
47, 77.7369, 3, 7445
40, 49.9033, 2, 21665
47, 48.7234, 4, 4168
53, 75.0677, 3, 23424
55, 63.5397, 4, 15549
54, 57.2147, 4, 425
54, 59.1489, 5, 5604
61, 54.1006, 5, 8047
45, 61.2186, 5, 23132
51, 71.1219, 0, 5219
51, 71.1219, 0, 270
52, 71.6441, 0, 1012
44, 69.4004, -1, 5580
46, 65.6093, 0, 5145
34, 33.2302, 3, 10650
31, 35.5319, 1, 967
35, 31.8182, 3, 2643
36, 36.2089, 3, 1972
58, 56.4023, 5, 21603
57, 55.8801, 5, 88
56, 53.4236, 5, 271
38, 75.9381, 3, 3703
