N,E,W,X
54, 24.3327, 6, 8726
61, 11.5474, 8, 4915
64, 21.8182, 6, 3924
64, 21.8182, 6, 14
56, 52.4565, 5, 5255
59, 79.1683, 5, 10095
58, 78.646, 5, 117
53, 74.1006, 4, 5051
46, 44.3327, 8, 7515
46, 44.3327, 8, 194
44, 39.4197, 6, 5255
40, 46.0348, 4, 3169
41, 12.7079, 4, 2816
40, 10.2515, 4, 203
38, 15.9768, 4, 12187
36, 10.0967, 2, 8224
36, 10.0967, 2, 221
38, 13.0754, 2, 1377
43, 22.4565, 5, 7829
42, 24.8356, 5, 528
36, 36.2089, 3, 9448
39, 43.5783, 1, 4530
54, 44.6422, 8, 41386
57, 24.9323, 10, 4752
56, 14.7389, 10, 547
42, 64.4874, 3, 24281
41, 64.9323, 5, 11637
39, 58.0851, 5, 430
48, 48.2785, 8, 5792
48, 66.6538, 7, 22413
49, 69.1103, 7, 444
48, 68.588, 7, 420
47, 43.8878, 3, 8029
45, 40.9091, 3, 3111
45, 42.8433, 3, 569
44, 31.6828, -1, 21536
49, 53.6364, 5, 12384
48, 49.2456, 5, 239
47, 44.8549, 5, 13
48, 47.3114, 5, 313
46, 48.2012, 5, 374
42, 20, 3, 38014
30, 35.0097, 5, 9430
44, 22.0116, 7, 17099
41, 18.5106, 6, 135
34, 29.3617, 2, 5676
33, 28.8395, 2, 163
31, 23.9265, 2, 235
36, 50.7157, 4, 7879
36, 51.6828, 5, 2313
35, 56.9632, 6, 955
36, 59.4197, 6, 223
53, 42.1857, 8, 18727
45, 43.8104, 6, 10595
49, 68.1431, -2, 16267
43, 50.5029, 0, 9925
44, 39.4197, 4, 35522
44, 31.6828, 4, 3206
55, 34.5261, 6, 8853
56, 42.7853, 6, 16196
55, 40.3288, 4, 20057
58, 41.8956, 7, 1136
50, 41.5861, 10, 13891
49, 40.0967, 6, 9015
51, 45.0097, 6, 2107
51, 43.0754, 6, 1088
49, 32.3598, 6, 1406
43, 45.6673, 4, 9909
42, 29.6712, 3, 16259
47, 24.5455, 4, 6238
48, 23.1335, 4, 665
59, 58.8588, 7, 11804
45, 19.6325, 4, 7710
44, 19.1103, 4, 0
44, 19.1103, 4, 92
43, 18.588, 4, 21
52, 35.8607, 4, 6828
45, 45.7447, 4, 150
45, 45.7447, 4, 266
38, 45.9574, 3, 7200
43, 32.1277, 6, 2912
43, 30.1934, 6, 642
43, 28.2592, 6, 106
45, 26.4023, 7, 2199
44, 17.176, 8, 398
45, 20.5996, 7, 2221
38, 38.2205, 0, 18353
35, 44.3907, 0, 1539
36, 44.913, 0, 380
44, 30.7157, 7, 4419
44, 23.9458, 6, 3312
41, 49.4584, 5, 32633
43, 52.4371, 7, 3622
43, 54.3714, 7, 370
32, 18.646, 4, 22427
32, 18.646, 4, 186
44, -10.8704, 8, 25326
51, 15.029, 3, 7083
52, 12.6499, 3, 484
51, 8.25919, 3, 127
59, 29.8453, 4, 16239
52, 31.0251, 4, 1411
51, 53.7137, 4, 12571
43, 56.3056, 3, 49754
40, 53.7718, 3, 2254
42, 58.6847, 3, 546
27, 25.706, 1, 8429
35, 39.5551, 2, 2370
45, 28.3366, 4, 16255
46, 42.3985, 4, 15192
50, 49.323, 4, 1766
40, 40.2321, 2, 20495
40, 42.1663, 2, 144
48, 22.1663, 0, 34637
48, 54.0812, 3, 13597
40, 49.9033, 4, 6793
52, 23.2882, 11, 16866
54, 49.4778, 9, 8933
37, 28.9942, 6, 24662
53, 4.46809, 13, 16292
52, 3.94584, 13, 1622
49, 12.0503, 16, 1304
42, 18.0658, 9, 16273
41, 21.412, 9, 11
40, 22.824, 9, 89
53, 30.5803, 4, 10579
51, 30.5029, 4, 3578
42, 32.5725, 2, 5168
37, 50.2708, 2, 2748
36, 51.6828, 2, 147
33, 55.9188, 2, 653
32, 53.4623, 3, 626
58, 74.7776, 8, 18883
54, 34.971, 10, 7536
59, 76.2669, 8, 15558
55, 79.9807, 7, 1660
56, 71.7988, 7, 11549
